Title,average_rating,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,description_length
Little Britches,4.914893617021277,"Ralph Moody was eight years old in 1906 when his family moved to a Colorado ranch. Through his eyes we experience the pleasures and perils of ranching there at the dawn of the century. Auctions and roundups, family picnics, irrigation wars, tornadoes, and windstorms provide authentic color. So do adventures, wonderfully told, that prepare Ralph to take his father's place. The first volume of Moody's little Britches series, this time-tested favorite is hard to beat for its ""dreaming and refreshing account of family life.""",['Ralph Moody'],,http://books.google.nl/books?id=jiO3AQAACAAJ&dq=Little+Britches&hl=&cd=1&source=gbs_api,Bison Books,2014-05-27,http://books.google.nl/books?id=jiO3AQAACAAJ&dq=Little+Britches&hl=&source=gbs_api,['History'],25.0,526
Small Steps: The Year I Got Polio,4.954545454545454,"Peg Kehret was stricken with polio when she was twelve years old. At first paralyzed and terrified, she fought her way to recovery, aided by doctors and therapists, a loving family, supportive roommates fighting their own battles with the disease, and plenty of grit and luck. With the humor and suspense that are her trademarks, acclaimed author Peg Kehret vividly recreates the true story of her year of heartbreak and triumph.",['Peg Kehret'],http://books.google.com/books/content?id=IHY5EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=IHY5EAAAQBAJ&pg=PP1&dq=Small+Steps:+The+Year+I+Got+Polio&hl=&cd=1&source=gbs_api,Albert Whitman & Company,1996-01-01,https://play.google.com/store/books/details?id=IHY5EAAAQBAJ&source=gbs_api,['Juvenile Nonfiction'],8.0,429
The Big Orange Splot (Turtleback School & Library Binding Edition),4.91044776119403,"This book is dedicated to the authentic literacy of children, 4 to 6 years old. The theory and history of key word/ key vocabulary approach is explained in depth, and its synchrony with social justice, anti-bias teaching is emphasized. Seminal texts are referenced throughout, and stories straight from the classroom bring to life the methodology.",['Cory Gann'],http://books.google.com/books/content?id=eKJRDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=eKJRDwAAQBAJ&pg=PA143&dq=The+Big+Orange+Splot+(Turtleback+School&hl=&cd=1&source=gbs_api,Rowman & Littlefield,2018-03-19,https://play.google.com/store/books/details?id=eKJRDwAAQBAJ&source=gbs_api,['Education'],,347
"The Ferret Calendar 2005, Ferret Music",4.943037974683544,"Founded in 1957, Chase's observes its 60th anniversary with the 2018 edition! Users will find everything worth knowing and celebrating for each day of the year: 12,500 holidays, historical milestones, famous birthdays, festivals, sporting events and much more. ""One of the most impressive reference volumes in the world.""--Publishers Weekly.","[""Editors of Chase's""]",http://books.google.com/books/content?id=GAY3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=GAY3DwAAQBAJ&pg=PA205&dq=The+Ferret+Calendar+2005,+Ferret+Music&hl=&cd=1&source=gbs_api",Bernan Press,2017-09-26,"http://books.google.com/books?id=GAY3DwAAQBAJ&dq=The+Ferret+Calendar+2005,+Ferret+Music&hl=&source=gbs_api",['Reference'],,341
The Indispensable Calvin and Hobbes: A Calvin and Hobbes Treasury,4.9480519480519485,"Features the hyperimaginative six-year-old and his guardian tiger in their most memorable adventures from ""Revenge of the Baby-Sat"" and ""Scientific Progress Goes Boink""",['Bill Watterson'],http://books.google.com/books/content?id=NV4WEqQtvTYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=NV4WEqQtvTYC&printsec=frontcover&dq=The+Indispensable+Calvin+and+Hobbes:+A+Calvin+and+Hobbes+Treasury&hl=&cd=1&source=gbs_api,Andrews McMeel Publishing,1992-06,http://books.google.com/books?id=NV4WEqQtvTYC&dq=The+Indispensable+Calvin+and+Hobbes:+A+Calvin+and+Hobbes+Treasury&hl=&source=gbs_api,['Comics & Graphic Novels'],36.0,168
The Rediscovery of Man: The Complete Short Science Fiction of Cordwainer Smith,4.936507936507937,"Welcome to the strangest, most distinctive future ever imagined by a science fiction writer. An interstellar empire ruled by the mysterious Lords of the Instrumentality, whose access to the drug stroon, from the planet Norstrilia, confers on them virtual immortality. A world in which wealthy and leisured humanity is served by the underpeople, genetically engineered animals turned into the semblance of people. A world in which the great ships which sail between the stars are eventually supplanted by the mysterious, instantaneous technique of planoforming. A world of wonder and myth, and extraordinary imagination.",['Cordwainer Smith'],http://books.google.com/books/content?id=N2YJ0MhJHpUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=N2YJ0MhJHpUC&dq=The+Rediscovery+of+Man:+The+Complete+Short+Science+Fiction+of+Cordwainer+Smith&hl=&cd=1&source=gbs_api,Hachette UK,2012-11-30,http://books.google.com/books?id=N2YJ0MhJHpUC&dq=The+Rediscovery+of+Man:+The+Complete+Short+Science+Fiction+of+Cordwainer+Smith&hl=&source=gbs_api,['Fiction'],8.0,619
The Secret Power of Speaking God's Word,4.924050632911392,"#1 New York Times bestselling author Joyce Meyer teaches readers how to create change in their lives and truly receive God's blessings. Includes powerful Scriptures covering over 50 topics, such as patience, loneliness, and wisdom.",['Joyce Meyer'],http://books.google.com/books/content?id=OnIrJDhlqsQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=OnIrJDhlqsQC&pg=PP1&dq=The+Secret+Power+of+Speaking+God%27s+Word&hl=&cd=1&source=gbs_api,FaithWords,2007-10-15,https://play.google.com/store/books/details?id=OnIrJDhlqsQC&source=gbs_api,['Religion'],29.0,231
The Stars a New Way to See Them,4.907407407407407,"A simple guide to the location and recognition of stars and constellations, mainly in the northern latitudes",['Hans Augusto Rey'],http://books.google.com/books/content?id=sLq6qgB6FBsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=sLq6qgB6FBsC&printsec=frontcover&dq=The+Stars+a+New+Way+to+See+Them&hl=&cd=1&source=gbs_api,Houghton Mifflin Harcourt,1980,http://books.google.com/books?id=sLq6qgB6FBsC&dq=The+Stars+a+New+Way+to+See+Them&hl=&source=gbs_api,['Juvenile Nonfiction'],5.0,108
The Strength of His Hand (Chronicles of the Kings #3),4.901408450704225,"Chronicles of the Kings Book 3- God has rewarded Hezekiah's faithfulness with great wealth and power, but the godly king has no heir. In desperation, his beloved wife takes forbidden measures to ensure fertility.With all that is going on in his kingdom-- and with the Assyrians approaching-- Hezekiah does not discover his wife's idolatry until it's almost too late. Her betrayal cuts to the very core of his being and belief in God. Will his faith sustain him in the face of this deceit, and against an overwhelming enemy?",['Lynn Austin'],http://books.google.com/books/content?id=gwI0Gdn2WDEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=gwI0Gdn2WDEC&printsec=frontcover&dq=The+Strength+of+His+Hand+(Chronicles+of+the+Kings&hl=&cd=1&source=gbs_api,Bethany House,2005-09-01,https://play.google.com/store/books/details?id=gwI0Gdn2WDEC&source=gbs_api,['Fiction'],12.0,523
The Valley of Vision: a Collection of Puritan Prayers and Devotions,4.921787709497207,"The strength of Puritan character and life lay in prayer and meditation. In this practice the spirit of prayer was regarded as of first importance and the best form of prayer, for living prayer is the characteristic of genuine spirituality. Yet prayer is also vocal and may therefore on occasions be written. Consequently in the Puritan tradition there are many written prayers and meditations which constitute an important corpus of inspiring devotional literature. From this source, Arthur Bennett has distilled the essence of many prayers and set out in modern form what he calls ""aspiration units, the several parts of which could become springboards for the individual's own prayer subjects."" - Back cover.",['Arthur Bennett'],http://books.google.com/books/content?id=RJ54MKLeQ3YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=RJ54MKLeQ3YC&q=The+Valley+of+Vision:+a+Collection+of+Puritan+Prayers+and+Devotions&dq=The+Valley+of+Vision:+a+Collection+of+Puritan+Prayers+and+Devotions&hl=&cd=1&source=gbs_api,Banner of Truth,1975,http://books.google.nl/books?id=RJ54MKLeQ3YC&dq=The+Valley+of+Vision:+a+Collection+of+Puritan+Prayers+and+Devotions&hl=&source=gbs_api,['Religion'],152.0,711
The Wealthy Spirit: Daily Affirmations for Financial Stress Reduction,4.959595959595959,Reduce the financial stress in your life.,['Chellie Campbell'],http://books.google.com/books/content?id=BdZRmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=BdZRmQEACAAJ&dq=The+Wealthy+Spirit:+Daily+Affirmations+for+Financial+Stress+Reduction&hl=&cd=1&source=gbs_api,Sourcebooks Incorporated,2002,http://books.google.com/books?id=BdZRmQEACAAJ&dq=The+Wealthy+Spirit:+Daily+Affirmations+for+Financial+Stress+Reduction&hl=&source=gbs_api,['Business & Economics'],,41
"Why revival tarries,",4.970149253731344,"Leonard Ravenhill's call to revival is as timely now as it was when &supl;rst published over forty years ago. The message is fearless and often radical as he expounds on the disparity between the New Testament church and the church today. Why Revival Tarries contains the heart of his message. A.W. Tozer called Ravenhill ""a man sent from God"" who ""appeared at [a] critical moment in history,"" just as the Old Testament prophets did. Included are questions for group and individual study. Ravi Zacharias refers to this as ""the book that shaped me...more dramatically than any other...""",['Leonard Ravenhill'],http://books.google.com/books/content?id=CRm0mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=CRm0mAEACAAJ&dq=Why+revival+tarries,&hl=&cd=1&source=gbs_api",Bethany House Publishers,2004-08-01,"http://books.google.nl/books?id=CRm0mAEACAAJ&dq=Why+revival+tarries,&hl=&source=gbs_api",['Religion'],27.0,585
Winning Chess Tournaments for Juniors,4.933333333333334,"Here, Robert M. Snyder, one of the top chess coaches in America, teaches kids the psychology of competition and the inside scoop on how chess tournaments work. This is the book that every chess tournament player in school must read to win.",['Robert M. Snyder'],http://books.google.com/books/content?id=ZVILAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ZVILAAAACAAJ&dq=Winning+Chess+Tournaments+for+Juniors&hl=&cd=1&source=gbs_api,Times Books,2004,http://books.google.com/books?id=ZVILAAAACAAJ&dq=Winning+Chess+Tournaments+for+Juniors&hl=&source=gbs_api,['Juvenile Nonfiction'],,239
Winter of Fire,4.927536231884058,A world destroyed by fire is saved from ice by a charismatic young woman who has powers beyond those of any living human being.,['Sherryl Jordan'],,http://books.google.nl/books?id=2o_zGwAACAAJ&dq=Winter+of+Fire&hl=&cd=1&source=gbs_api,Point,1995-01-01,http://books.google.nl/books?id=2o_zGwAACAAJ&dq=Winter+of+Fire&hl=&source=gbs_api,['Fantastic fiction.'],12.0,127
With the Old Breed: At Peleliu and Okinawa,4.912721893491124,"“Eugene Sledge became more than a legend with his memoir, With The Old Breed. He became a chronicler, a historian, a storyteller who turns the extremes of the war in the Pacific—the terror, the camaraderie, the banal and the extraordinary—into terms we mortals can grasp.”—Tom Hanks NEW YORK TIMES BESTSELLER In The Wall Street Journal, Victor Davis Hanson named With the Old Breed one of the top five books on epic twentieth-century battles. Studs Terkel interviewed the author for his definitive oral history, The Good War. Now E. B. Sledge’s acclaimed first-person account of fighting at Peleliu and Okinawa returns to thrill, edify, and inspire a new generation. An Alabama boy steeped in American history and enamored of such heroes as George Washington and Daniel Boone, Eugene B. Sledge became part of the war’s famous 1st Marine Division—3rd Battalion, 5th Marines. Even after intense training, he was shocked to be thrown into the battle of Peleliu, where “the world was a nightmare of flashes, explosions, and snapping bullets.” By the time Sledge hit the hell of Okinawa, he was a combat vet, still filled with fear but no longer with panic. Based on notes Sledge secretly kept in a copy of the New Testament, With the Old Breed captures with utter simplicity and searing honesty the experience of a soldier in the fierce Pacific Theater. Here is what saved, threatened, and changed his life. Here, too, is the story of how he learned to hate and kill—and came to love—his fellow man. “In all the literature on the Second World War, there is not a more honest, realistic or moving memoir than Eugene Sledge’s. This is the real deal, the real war: unvarnished, brutal, without a shred of sentimentality or false patriotism, a profound primer on what it actually was like to be in that war. It is a classic that will outlive all the armchair generals’ safe accounts of—not the ‘good war’—but the worst war ever.”—Ken Burns",['E.B. Sledge'],http://books.google.com/books/content?id=kfgnHCLvQPcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=kfgnHCLvQPcC&printsec=frontcover&dq=With+the+Old+Breed:+At+Peleliu+and+Okinawa&hl=&cd=1&source=gbs_api,Presidio Press,2008-12-18,https://play.google.com/store/books/details?id=kfgnHCLvQPcC&source=gbs_api,['History'],8.0,1931
shadow castle,4.947826086956522,"In the middle of a deep forest is an enchanted valley and a castle where only shadows live, shadows of kings and queens who have waited for hundreds of years for the spell cast upon them to be broken. One day, a girl named Lucy follows a little dog through a tunnel into the valley and meets the mysterious red-haired Michael, who takes her into the shadow world to meet Prince Mika and his mortal wife Gloria, their children and their children’s children, and to learn the magic that will lift the spell. This new expanded edition contains additional chapters not published in the original 1946 edition.",['Marian Cockrell'],http://books.google.com/books/content?id=-SB7CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=-SB7CwAAQBAJ&printsec=frontcover&dq=shadow+castle&hl=&cd=1&source=gbs_api,Open Road Media,2016-02-16,https://play.google.com/store/books/details?id=-SB7CwAAQBAJ&source=gbs_api,['Juvenile Fiction'],1.0,604
the lion's paw,4.944954128440367,Republish of the classical adventure first published in 1946 by Doubleday & Co.,['Robb White'],http://books.google.com/books/content?id=7625OQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=7625OQAACAAJ&dq=the+lion%27s+paw&hl=&cd=1&source=gbs_api,Brigham Distributing,1946,http://books.google.nl/books?id=7625OQAACAAJ&dq=the+lion%27s+paw&hl=&source=gbs_api,['Juvenile Fiction'],,79
